RA,Dec,Vmag,Bmag,B-V
92.459949,24.443901,16.6475,17.5344,0.8869
92.347291,24.443487,16.5314,17.336,0.8046
92.07616,24.442141,15.994,16.5964,0.6024
92.157356,24.44252,16.9956,17.8531,0.8575
92.152703,24.442498,17.0598,18.2052,1.1454
92.322646,24.442571,15.8621,16.9475,1.0854
92.229457,24.441888,16.3644,17.6017,1.2373
92.126186,24.441202,15.0799,15.8665,0.7866
92.259805,24.441738,15.9612,16.5549,0.5937
92.007099,24.441414,13.4086,14.1241,0.7155
92.133118,24.440976,16.266,17.2943,1.0283
92.069781,24.440765,16.9529,18.0177,1.0648
92.010975,24.440256,15.1784,15.903,0.7246
92.104425,24.440811,16.9786,17.7432,0.7646
92.001165,24.44026,17.1289,17.8848,0.7559
92.140943,24.440208,14.07,14.7706,0.7006
92.133137,24.440981,16.267,17.2943,1.0273
92.509364,24.441629,17.4208,18.3796,0.9588
92.213593,24.439539,15.0206,15.7707,0.7501
92.282012,24.440201,16.8881,17.9689,1.0808
92.109784,24.438673,17.3299,18.3711,1.0412
92.355557,24.438966,15.8787,17.0833,1.2046
92.351463,24.438875,15.3148,16.1614,0.8466
92.29942,24.437851,14.9152,15.7187,0.8035
92.299433,24.43784,14.9121,15.7187,0.8066
92.186941,24.438614,17.2644,18.1906,0.9262
92.048603,24.436868,16.5596,17.5049,0.9453
92.023749,24.435357,11.6081,12.0794,0.4713
92.550331,24.437537,13.1987,14.0299,0.8312
92.341229,24.436477,13.0055,13.5484,0.5429
92.337098,24.437534,16.4881,17.362,0.8739
92.247894,24.436002,14.7729,15.3116,0.5387
92.247905,24.436002,14.7729,15.3116,0.5387
92.04007,24.434048,13.3335,13.9196,0.5861
92.019351,24.434831,12.2296,13.7987,1.5691
92.016805,24.43318,15.2969,16.5605,1.2636
92.312102,24.4369,14.8929,16.0691,1.1762
92.261558,24.436649,16.2804,17.1085,0.8281
92.381817,24.436657,14.9737,15.6245,0.6508
92.306571,24.436843,15.4634,16.6716,1.2082
92.507658,24.437257,16.4254,16.9514,0.526
92.040071,24.434051,13.3334,13.9196,0.5862
92.416307,24.435727,15.3632,16.182,0.8188
91.989708,24.433923,15.6534,16.7478,1.0944
92.131558,24.433942,14.7539,15.4932,0.7393
92.365428,24.435584,16.6224,17.7835,1.1611
92.545476,24.435753,16.4577,17.6151,1.1574
92.496103,24.435439,17.5573,18.2667,0.7094
92.473109,24.43514,16.9154,17.9396,1.0242
92.439646,24.434706,15.7821,16.4355,0.6534
92.145612,24.433736,15.9606,16.6486,0.688
92.145601,24.433733,15.9602,16.6486,0.6884
92.112367,24.432557,13.4928,14.1151,0.6223
92.301378,24.434528,16.9911,17.8408,0.8497
92.352477,24.434189,17.2731,18.3488,1.0757
91.988299,24.432482,17.6279,18.2439,0.616
92.073975,24.432589,16.9044,17.5925,0.6881
92.456759,24.433537,16.7553,17.6514,0.8961
92.239564,24.432217,15.915,16.5572,0.6422
92.205283,24.432321,16.2731,16.9415,0.6684
92.176072,24.432143,16.5134,17.7422,1.2288
92.101238,24.431212,14.7085,15.5153,0.8068
92.101243,24.43121,14.7085,15.5153,0.8068
92.358461,24.430118,11.6008,11.9922,0.3914
92.358493,24.430125,11.6004,11.9922,0.3918
92.222751,24.431373,15.5667,16.1888,0.6221
92.153042,24.429977,14.001,14.4566,0.4556
92.496472,24.431113,14.1931,15.658,1.4649
92.485192,24.431043,14.7531,15.6238,0.8707
92.339789,24.430763,14.9948,15.6452,0.6504
92.182218,24.429884,13.9518,14.6669,0.7151
92.275257,24.430702,16.5584,17.166,0.6076
92.041187,24.428092,14.2214,14.9345,0.7131
92.041191,24.428092,14.2214,14.9345,0.7131
92.512017,24.430943,16.4747,17.4796,1.0049
92.414717,24.43124,12.4762,13.9336,1.4574
92.019828,24.427448,11.5448,11.8398,0.295
92.099438,24.429429,17.4484,18.4029,0.9545
92.186991,24.429404,16.9719,17.877,0.9051
92.358486,24.430119,11.6008,11.9922,0.3914
92.1579,24.428814,17.6435,18.57,0.9265
92.53868,24.428744,14.2185,14.9368,0.7183
92.518536,24.429391,16.7704,17.7144,0.944
92.16922,24.427742,16.7661,17.8424,1.0763
92.017047,24.425472,13.4429,14.0333,0.5904
92.133188,24.426957,16.8153,17.7121,0.8968
92.071203,24.426504,15.8788,16.7024,0.8236
92.041182,24.42809,14.2214,14.9345,0.7131
92.272163,24.426458,13.4279,14.0509,0.623
92.239988,24.427101,16.3343,17.252,0.9177
92.002739,24.426087,16.5494,17.0581,0.5087
92.364693,24.427633,16.9791,17.7623,0.7832
92.329483,24.42663,12.619,13.1086,0.4896
92.204613,24.425771,12.4852,12.9557,0.4705
